"","RecordedDate","rfq_1","rfq_2","rfq_3","rfq_4","rfq_5","rfq_6","rfq_7","rfq_8","rfq_9","rfq_10","rfq_11","prom.str","prev.str","promdom.str","age","gender","language","ethnicity","location","education","income","pol_orient"
"33","12/3/19 7:14",3,1,4,1,4,2,3,1,2,4,2,-4.49320070140769,-3.30649951079377,-1.18670119061392,33,"Male","English","White","AZ","High School","$40K-$70K","Slightly Liberal"
"34","12/3/19 7:14",4,4,3,4,4,5,2,4,3,4,2,-4.02052799287568,-3.40297584888653,-0.617552143989152,40,"Male","English","Hispanic","CA","Some College","$20K-$40K","Slightly Liberal"
"35","12/3/19 7:15",1,4,5,4,3,4,5,1,1,5,1,-3.21484954719476,-0.836284690375099,-2.37856485681966,25,"Male","English","White","FL","Bachelor's","$40K-$70K","Conservative"
"36","12/3/19 7:15",2,2,3,3,4,3,3,3,2,4,1,-4.56838298120626,-3.68913729347298,-0.879245687733278,63,"Male","English","White","MA","Bachelor's","$100K-$250K","Moderate"
"37","12/3/19 7:15",2,3,4,2,3,3,4,2,2,4,1,-3.31467699802848,-3.80571141336139,0.491034415332912,36,"Female","English","White","NH","Some College","$70K-$100K","Very Liberal"
"38","12/3/19 7:15",2,3,4,2,4,2,4,1,3,3,2,-3.77753367238426,-4.42231138107256,0.644777708688295,32,"Male","English","White","MD","Bachelor's","$100K-$250K","Slightly Liberal"
"39","12/3/19 7:16",3,5,5,5,1,5,5,2,1,5,3,-2.71178884387871,-1.74598456228325,-0.965804281595456,34,"Female","English","White","VA","Some College","$70K-$100K","Very Liberal"
"40","12/3/19 7:16",2,3,5,3,3,3,5,2,2,4,1,-3.92153743813978,-3.70649729680787,-0.215040141331912,41,"Male","English","Black","AL","Bachelor's","$40K-$70K","Very Liberal"
"41","12/3/19 7:16",3,3,1,2,3,3,2,3,2,4,3,-3.51505014484402,-3.49524391456922,-0.0198062302748001,28,"Male","English","White","MA","Associate's","$40K-$70K","Moderate"
"42","12/3/19 7:16",5,1,3,1,3,3,3,2,5,2,2,-5.33656088280879,-5.02353920759641,-0.313021675212378,38,"Male","English","White","KY","Bachelor's","$20K-$40K","Liberal"
"43","12/3/19 7:16",2,3,3,3,3,3,3,2,2,4,2,-3.7555830215484,-2.74756384854258,-1.00801917300582,42,"Male","English","White","PA","Bachelor's","$70K-$100K","Liberal"
"44","12/3/19 7:16",3,3,4,3,4,3,4,2,2,4,3,NA,NA,-2.31859169841126,60,"Female","English","White","GA","Some College","$10K-$20K","Very Liberal"
"45","12/3/19 7:16",3,3,3,3,3,3,3,3,3,2,1,-3.18638634698792,-3.39580126194823,0.209414914960313,34,"Female","English","White","WA","High School","$20K-$40K","Liberal"
"46","12/3/19 7:16",4,3,5,4,3,3,5,3,2,4,1,-3.5151429993909,-3.33635240897224,-0.17879059041866,29,"Male","English","Multiracial","PA","High School","$0-$10K","Moderate"
"47","12/3/19 7:16",1,3,2,3,3,3,2,3,3,1,2,-4.71270590057754,-4.18620731934892,-0.526498581228616,46,"Male","English","White","GA","Some College","$20K-$40K","Very Liberal"
"48","12/3/19 7:16",1,3,1,3,3,3,1,5,5,1,5,-3.63589075416534,-3.51056872512905,-0.125322029036295,24,"Male","English","White","MN","High School","$0-$10K","Moderate"
"49","12/3/19 7:16",4,2,5,2,4,2,4,2,2,4,1,-4.10659341815259,-4.11736984709929,0.0107764289466967,32,"Male","English","Black","WI","High School","$40K-$70K","Slightly Liberal"
"50","12/3/19 7:17",3,3,4,2,5,2,5,2,2,3,1,-3.41423954784122,-2.70532280663468,-0.708916741206533,26,"Female","English","White","GA","Associate's","$20K-$40K","Liberal"
"51","12/3/19 7:17",4,2,3,2,4,3,4,4,1,4,1,-3.49042837015369,-3.30571312350661,-0.184715246647074,30,"Male","English","White","WA","Associate's","$20K-$40K","Very Conservative"
"52","12/3/19 7:17",3,3,4,3,3,3,4,3,3,3,2,-2.66705599596214,-2.70553934636391,0.0384833504017754,62,"Male","English","White","KY","Some College","$40K-$70K","Very Liberal"
"53","12/3/19 7:17",3,5,4,5,3,4,4,3,3,4,2,-3.51801654962104,-2.49127856033721,-1.02673798928383,49,"Female","English","White","VA","Bachelor's","$70K-$100K","Moderate"
"54","12/3/19 7:17",1,3,5,2,4,3,5,2,1,5,1,-3.11742596098153,-4.15290559840513,1.03547963742361,31,"Female","English","White","FL","Associate's","$20K-$40K","Moderate"
"55","12/3/19 7:18",3,2,3,3,2,2,3,3,3,4,2,-3.11857137346898,-2.7474996032106,-0.371071770258384,55,"Male","English","White","MS","Bachelor's","$70K-$100K","Conservative"
"56","12/3/19 7:18",4,2,4,2,4,1,5,2,1,5,1,-1.63487978493456,-1.37482836623568,-0.260051418698881,32,"Male","English","White","NC","Master's","$100K-$250K","Slightly Conservative"
"57","12/3/19 7:18",4,3,3,3,4,3,3,3,5,2,3,-3.75432603693546,-4.03640413753756,0.282078100602094,41,"Female","English","Multiracial","FL","Some College","$10K-$20K","Liberal"
"58","12/3/19 7:18",1,2,4,3,4,3,4,2,1,4,3,-3.32201318682399,-2.26234981479745,-1.05966337202654,26,"Male","English","White","MA","Bachelor's","$20K-$40K","Liberal"
"59","12/3/19 7:19",4,4,4,5,5,4,5,3,2,4,2,-6.04661502880201,-3.97883161487445,-2.06778341392756,30,"Female","English","White","NJ","Bachelor's","No Response","Moderate"
"60","12/3/19 7:19",4,3,3,2,4,2,3,3,2,4,1,-3.17182881935204,-3.3384398983767,0.16661107902466,28,"Female","English","White","WI","Bachelor's","$40K-$70K","Very Liberal"
"61","12/3/19 7:19",2,4,5,5,3,5,5,1,1,5,1,-3.27125535482482,-1.86944697541087,-1.40180837941395,34,"Male","English","White","FL","Bachelor's","$40K-$70K","Moderate"
"62","12/3/19 7:19",4,3,4,3,4,3,4,3,1,4,2,-4.72586018010728,-3.59641989024782,-1.12944028985946,31,"Female","English","White","NJ","High School","$40K-$70K","Very Liberal"
"63","12/3/19 7:19",2,4,2,3,5,3,4,1,4,3,5,-5.55048034772536,-6.27635139201609,0.725871044290724,40,"Male","English","White","WA","Some College","$20K-$40K","Moderate"
"64","12/3/19 7:20",2,3,5,4,3,4,4,4,1,4,2,-5.77605304276767,-5.56434059411874,-0.211712448648937,35,"Male","English","White","WV","High School","$10K-$20K","Slightly Conservative"
"66","12/3/19 7:20",2,3,4,3,4,3,4,1,1,4,1,-6.26776345269941,-5.16947298398455,-1.09829046871486,71,"Female","English","White","PA","Some College","$40K-$70K","Moderate"
"67","12/3/19 7:20",2,1,3,1,5,1,2,3,4,3,2,-4.55545214394562,-4.4724731235479,-0.0829790203977163,38,"Female","English","White","VA","Associate's","$70K-$100K","Slightly Conservative"
"68","12/3/19 7:20",3,2,2,2,4,2,4,2,3,3,1,-2.38083137071611,-1.5332091082221,-0.847622262494014,40,"Male","English","White","OH","Master's","$100K-$250K","Liberal"
"69","12/3/19 7:20",2,1,4,3,4,3,4,3,3,4,2,-2.54529254878495,-3.38355132711615,0.838258778331193,34,"Male","English","White","PA","Bachelor's","$70K-$100K","Conservative"
"70","12/3/19 7:20",3,3,4,3,4,3,3,3,3,4,4,-5.86470358113608,-5.06985523818828,-0.794848342947799,47,"Female","English","Multiracial","KS","Bachelor's","$40K-$70K","Conservative"
"71","12/3/19 7:20",5,1,3,1,5,1,3,1,5,1,1,-5.53778611214495,-4.87843657429653,-0.659349537848422,45,"Female","English","Hispanic","MN","Associate's","$40K-$70K","Slightly Liberal"
"72","12/3/19 7:20",3,1,3,2,5,1,2,1,2,4,1,-2.0667106940202,-2.53855145517171,0.471840761151502,46,"Female","English","White","GA","Bachelor's","$70K-$100K","Conservative"
"73","12/3/19 7:21",1,1,5,1,5,1,5,1,1,3,3,NA,NA,-0.21892751700674,23,"Male","English","White","CA","High School","$20K-$40K","Moderate"
"74","12/3/19 7:21",4,2,3,4,4,2,3,1,3,2,3,-3.92546258810386,-3.56379923039619,-0.361663357707672,32,"Male","English","White","FL","High School","$20K-$40K","Slightly Liberal"
"75","12/3/19 7:21",3,3,4,3,4,3,3,4,4,3,2,-3.10589850923429,-4.05688643855266,0.950987929318372,36,"Other","English","Pacific Islander","WI","Some College","No Response","Liberal"
"76","12/3/19 7:21",3,1,2,2,4,2,3,3,3,3,4,-2.90325599871863,-3.22290174424897,0.319645745530335,45,"Female","English","White","PA","Some College","$40K-$70K","Moderate"
"77","12/3/19 7:21",3,2,4,3,4,3,4,2,2,4,1,-2.51808389827118,-2.14510687759599,-0.372977020675189,39,"Male","English","White","OR","Bachelor's","$20K-$40K","Very Liberal"
"78","12/3/19 7:21",4,1,3,3,4,1,2,2,3,3,4,-3.6610224466505,-2.72591704544268,-0.935105401207818,21,"Male","English","White","IL","Some College","$40K-$70K","Conservative"
"79","12/3/19 7:21",2,1,3,3,4,1,3,1,2,4,1,-3.56062822384633,-3.37728429289709,-0.183343930949243,20,"Female","English","White","WA","Associate's","$40K-$70K","Liberal"
"80","12/3/19 7:22",3,3,3,3,4,3,3,4,3,3,3,-2.66493742941701,-1.84919775587511,-0.815739673541901,23,"Female","English","White","AL","Some College","$100K-$250K","Very Liberal"
"81","12/3/19 7:22",3,2,4,2,4,2,4,2,3,3,4,-4.21832900487451,-3.97125875294538,-0.247070251929124,43,"Female","English","White","TN","Some College","$40K-$70K","Very Liberal"
"82","12/3/19 7:22",4,3,4,3,5,1,4,2,4,3,4,-2.3451252151292,-1.0999356018769,-1.2451896132523,22,"Male","English","White","WA","Bachelor's","$100K-$250K","Moderate"
"83","12/3/19 7:22",1,2,4,3,4,2,4,2,2,4,1,-3.73893236875586,-4.31533390400714,0.576401535251282,31,"Male","English","Black","NY","Bachelor's","$100K-$250K","Very Liberal"
"84","12/3/19 7:23",2,2,4,3,4,1,4,3,2,4,1,-2.47101161305071,-2.61703376981035,0.146022156759636,38,"Male","English","White","MI","Some College","$20K-$40K","Very Liberal"
"85","12/3/19 7:23",2,3,4,3,4,1,5,1,1,4,1,-4.2834235326935,-5.51737906408007,1.23395553138656,35,"Male","English","White","PA","High School","$70K-$100K","Conservative"
"86","12/3/19 7:23",3,4,4,3,3,3,3,3,4,2,2,-4.31687741783778,-3.14270750564557,-1.17416991219222,53,"Female","English","White","GA","Associate's","No Response","Liberal"
"87","12/3/19 7:23",3,1,2,2,4,2,2,1,5,1,3,-2.8424154843503,-2.04715516227207,-0.795260322078235,35,"Male","English","White","OH","Associate's","$40K-$70K","Moderate"
"88","12/3/19 7:24",2,3,3,3,3,4,3,4,3,4,3,-2.90705247201899,-3.70749889630289,0.8004464242839,53,"Male","English","Hispanic","GA","Bachelor's","$100K-$250K","Conservative"
"89","12/3/19 7:24",3,2,2,2,4,2,2,1,4,3,3,-5.48976164340981,-4.96426990640067,-0.525491737009137,54,"Female","English","White","CA","Master's","$100K-$250K","Liberal"
"90","12/3/19 7:24",3,4,4,4,3,3,3,3,2,3,3,-3.65263500429044,-3.34887762314566,-0.303757381144775,68,"Male","English","White","FL","Master's","$40K-$70K","Conservative"
"91","12/3/19 7:24",2,1,5,5,5,2,3,1,2,2,5,-1.13872349444102,-0.687546794085266,-0.451176700355752,24,"Male","English","White","ME","Bachelor's","$20K-$40K","Liberal"
"92","12/3/19 7:24",3,3,4,4,3,3,4,3,2,3,3,-4.39148469021093,-3.84666788113575,-0.544816809075184,32,"Female","English","White","SC","Some College","$20K-$40K","Conservative"
"93","12/3/19 7:24",1,1,4,1,5,2,4,1,2,4,2,-2.93384753002546,-4.95433821679157,2.02049068676611,26,"Female","English","White","NJ","Master's","$40K-$70K","Slightly Liberal"
"94","12/3/19 7:24",4,3,4,5,4,3,4,3,3,4,5,NA,NA,0.415759012711528,27,"Female","English","White","PA","Bachelor's","$40K-$70K","Liberal"
"95","12/3/19 7:25",3,3,4,3,3,3,4,2,3,4,1,-6.77076489845062,-6.68271275211949,-0.0880521463311235,35,"Male","English","White","WI","Bachelor's","$70K-$100K","Moderate"
"96","12/3/19 7:25",2,1,4,3,5,1,4,1,2,4,4,-4.59874894689719,-4.37594247125603,-0.222806475641157,52,"Female","English","White","AZ","Associate's","$20K-$40K","Slightly Conservative"
"97","12/3/19 7:25",3,2,5,3,4,2,5,3,3,4,1,-4.63597929536364,-5.45224756713552,0.816268271771878,67,"Female","English","White","NC","Master's","$10K-$20K","Slightly Liberal"
"98","12/3/19 7:25",3,4,3,3,3,3,3,3,4,3,4,-3.14218959625753,-3.14482741277735,0.00263781651981398,33,"Male","English","White","PA","High School","$20K-$40K","Slightly Liberal"
"99","12/3/19 7:25",4,2,3,2,4,2,4,3,3,2,1,-3.03328809904847,-2.60082138611432,-0.432466712934146,24,"Male","English","White","PA","Bachelor's","$100K-$250K","Moderate"
"100","12/3/19 7:26",3,3,4,3,3,3,4,4,3,3,3,-3.94632516506472,-3.74798377046995,-0.198341394594774,39,"Female","English","Asian","TX","Bachelor's","$100K-$250K","Slightly Liberal"
"101","12/3/19 7:28",3,4,4,4,2,4,3,3,3,3,2,-4.01957687207944,-3.87987517378728,-0.139701698292162,35,"Male","English","Multiracial","NM","Bachelor's","$70K-$100K","Liberal"
"102","12/3/19 7:28",2,3,4,2,3,2,5,1,1,4,2,-4.89539705900043,-3.9605576092951,-0.934839449705331,37,"Male","English","Black","IN","Bachelor's","$20K-$40K","Very Liberal"
"103","12/3/19 7:29",3,4,5,4,4,4,5,2,4,5,1,-1.91125646079783,-2.12671534898459,0.215458888186761,36,"Male","English","Asian","NJ","Some College","$100K-$250K","Liberal"
"104","12/3/19 7:29",2,3,2,2,4,4,4,1,2,4,2,-4.33581065299346,-3.49912596380051,-0.836684689192953,28,"Male","English","White","PA","Bachelor's","$40K-$70K","Slightly Conservative"
"105","12/3/19 7:30",4,2,3,2,4,3,4,1,1,4,3,-3.9745785026957,-3.29096967914962,-0.683608823546075,56,"Female","English","White","OH","High School","$40K-$70K","Slightly Liberal"
"106","12/3/19 7:30",3,3,4,3,4,3,2,4,4,2,4,-2.924211777305,-2.66357365927869,-0.260638118026311,34,"Female","English","White","IN","Bachelor's","$40K-$70K","Moderate"
"107","12/3/19 7:31",3,2,4,3,4,3,4,1,2,3,2,-4.10071512759348,-4.15653256350311,0.0558174359096313,33,"Male","English","Black","PA","Some College","$40K-$70K","Slightly Liberal"
"108","12/3/19 7:32",1,3,4,3,3,3,5,3,2,5,3,-4.18922679754188,-4.05795310280612,-0.131273694735761,43,"Male","English","White","GA","Some College","$100K-$250K","Slightly Conservative"
"109","12/3/19 7:32",4,3,4,3,3,3,4,1,2,4,4,-5.63688237874034,-5.52726830159663,-0.109614077143715,70,"Female","English","White","NY","Some College","$70K-$100K","Slightly Liberal"
"110","12/3/19 7:32",3,4,4,4,2,4,4,3,2,4,3,-5.40022511137983,-3.72306080527991,-1.67716430609992,58,"Female","English","White","SC","High School","$100K-$250K","Moderate"
"111","12/3/19 7:33",3,1,2,1,4,1,5,1,3,3,1,-4.71659320384077,-5.48519667006779,0.768603466227018,58,"Female","English","White","WA","Associate's","$40K-$70K","Liberal"
"112","12/3/19 7:33",3,1,4,1,5,1,3,3,4,3,3,-2.2325796437046,-1.19927714608688,-1.03330249761772,26,"Female","English","Asian","CA","Bachelor's","$20K-$40K","Very Liberal"
"113","12/3/19 7:33",3,3,2,4,2,3,4,1,3,2,2,-3.88728244953265,-4.4743403077076,0.587057858174953,48,"Female","English","White","CT","High School","$20K-$40K","Moderate"
"114","12/3/19 7:33",1,2,4,3,4,1,4,3,3,4,1,-2.75608727535534,-2.19195224519331,-0.564135030162034,32,"Male","English","White","AZ","Master's","$70K-$100K","Conservative"
"115","12/3/19 7:34",2,3,5,4,4,3,5,2,4,4,2,-6.38302346320908,-6.50815297471835,0.125129511509267,73,"Female","English","White","MD","Bachelor's","$70K-$100K","Slightly Liberal"
"117","12/3/19 7:34",5,1,5,2,4,1,5,3,2,3,2,-3.80506235980438,-3.97612869693476,0.171066337130384,60,"Male","English","White","ID","Some College","$10K-$20K","Conservative"
"118","12/3/19 7:35",3,2,5,3,4,3,5,3,2,3,2,-3.84229482272438,-4.86498792361125,1.02269310088687,32,"Female","English","White","MI","Some College","$20K-$40K","Moderate"
"119","12/3/19 7:36",1,3,5,3,4,3,4,2,2,5,4,-3.96147090209987,-3.74033268729476,-0.221138214805111,50,"Male","English","White","PA","Associate's","$70K-$100K","Liberal"
"120","12/3/19 7:36",5,3,5,3,4,3,5,2,1,5,1,-4.19924866153726,-4.14327323572672,-0.0559754258105434,59,"Male","English","White","TX","Bachelor's","$70K-$100K","Liberal"
"121","12/3/19 7:36",4,5,3,5,5,5,4,4,5,2,2,-6.15828615228323,-6.27033291098087,0.112046758697638,59,"Female","English","White","AL","Master's","$0-$10K","Liberal"
"122","12/3/19 7:36",2,2,4,1,4,2,4,1,2,4,1,-5.47804555538353,-5.21172832585021,-0.266317229533318,32,"Female","English","Hispanic","NY","Bachelor's","$40K-$70K","Conservative"
"123","12/3/19 7:37",3,2,5,3,4,2,4,4,3,3,3,-5.13748087373293,-5.53481209219108,0.397331218458146,31,"Male","English","Multiracial","NY","Bachelor's","$40K-$70K","Slightly Liberal"
"124","12/3/19 7:37",1,1,4,1,4,1,5,1,1,4,4,-6.03137510574723,-5.90504039619146,-0.126334709555769,30,"Male","English","Black","MI","Some College","$40K-$70K","Very Liberal"
"125","12/3/19 7:37",1,3,3,4,3,3,1,5,4,3,2,-2.84786168001109,-2.19625733727276,-0.651604342738325,35,"Male","English","White","PA","Master's","$40K-$70K","Very Liberal"
"126","12/3/19 7:37",1,3,5,1,4,1,5,1,1,5,1,-5.8821524562726,-5.80480743319048,-0.0773450230821124,29,"Male","English","Native American","NM","Some College","$70K-$100K","Moderate"
"127","12/3/19 7:38",2,1,3,2,2,1,3,1,3,2,2,-4.27488385501669,-4.01256479715456,-0.262319057862128,39,"Female","English","Black","NY","Bachelor's","No Response","Very Liberal"
"128","12/3/19 7:39",3,2,3,3,4,4,5,3,2,3,1,-5.2738520199469,-5.03820160139264,-0.235650418554264,25,"Male","English","White","GA","Associate's","$10K-$20K","Very Liberal"
"129","12/3/19 7:39",2,4,3,2,4,3,4,3,4,5,4,-2.08211239113085,-2.97100098757625,0.888888596445402,25,"Male","English","Other","NJ","Master's","$70K-$100K","Liberal"
"130","12/3/19 7:39",2,2,4,3,4,3,4,1,3,4,2,-3.96806907829212,-3.08773576479955,-0.880333313492571,48,"Female","English","White","NY","Bachelor's","$100K-$250K","Very Conservative"
"131","12/3/19 7:40",2,1,3,2,4,2,3,1,1,4,1,-5.80481110782326,-5.11994528810739,-0.684865819715871,74,"Male","English","White","MA","Some College","$70K-$100K","Conservative"
"132","12/3/19 7:42",2,4,5,4,3,4,5,4,2,4,1,-3.46908104594703,-3.23836465142341,-0.230716394523622,33,"Female","English","White","NC","Associate's","$40K-$70K","Very Liberal"
"133","12/3/19 7:43",3,5,4,5,1,5,4,3,2,4,1,-2.1729167794182,-2.64921681523102,0.476300035812822,44,"Female","English","White","FL","Some College","$100K-$250K","Moderate"
"134","12/3/19 7:43",1,5,5,5,2,5,5,4,3,4,1,-5.0079283517882,-3.71494973182567,-1.29297861996253,30,"Female","English","White","TX","Some College","$40K-$70K","Moderate"
"135","12/3/19 7:43",3,2,4,3,4,3,5,2,3,4,2,-6.40041471393423,-6.97071273832596,0.570298024391727,34,"Female","English","White","MS","Associate's","$20K-$40K","Slightly Conservative"
"136","12/3/19 7:44",2,2,4,4,4,3,4,3,4,5,1,-4.47312483498266,-3.68432859179913,-0.78879624318353,45,"Male","English","White","LA","Bachelor's","$20K-$40K","Slightly Liberal"
"137","12/3/19 7:44",2,4,5,3,3,3,5,2,2,5,1,-2.64002705055833,-2.74244687530189,0.102419824743558,44,"Female","English","White","VA","Master's","$100K-$250K","Slightly Conservative"
"138","12/3/19 7:46",1,2,4,2,4,1,5,2,1,5,1,-3.44404111190286,-1.95975894737429,-1.48428216452858,38,"Male","English","White","NJ","Bachelor's","$100K-$250K","Liberal"
"139","12/3/19 7:46",4,3,4,3,3,4,4,3,3,4,2,-4.38904336115798,-4.07379284630474,-0.315250514853239,34,"Male","English","White","KY","Bachelor's","$70K-$100K","Conservative"
"140","12/3/19 7:46",3,3,3,3,4,3,3,3,3,3,2,-2.35466174435571,-2.79420888485377,0.439547140498059,33,"Female","English","White","NY","Bachelor's","$40K-$70K","Liberal"
"141","12/3/19 7:47",1,1,2,4,4,2,2,3,4,1,3,-3.90525031691389,-3.67217865158456,-0.233071665329336,49,"Male","English","White","FL","Some College","$10K-$20K","Moderate"
"142","12/3/19 7:48",1,3,3,1,4,2,4,2,1,4,1,-3.09768797014008,-3.76233486358374,0.664646893443658,40,"Male","English","White","IL","Bachelor's","$70K-$100K","Slightly Conservative"
